Category,Equipment Type,Item Description,Service/Application,Size/Capacity,Pressure/Class,Body Material,Trim/Impeller Material,End Connection,Operation/Actuation,Key Accessories/Scope,Standards/Testing,Required Documents,Vendor Input (Make/Model),Unit,Estimated Qty,Delivery Location,Remarks
Manual Valve,Gate Valve (Rising Stem),Isolation for clean water line,Utility Water,2 in to 12 in,Class 150,WCB,SS410,RF Flanged,Handwheel,"Gasket set, studs/bolts",API 600/API 598,"QAP, Hydrotest report, MTC",,,Nos,,
Manual Valve,Globe Valve,Flow throttling for steam condensate,Steam/Condensate,1 in to 6 in,Class 300,WCB,SS316,RF Flanged,Handwheel,"Packing kit, gland bolts",BS 1873/API 598,"GA drawing, MTC, Warranty",,,Nos,,
Manual Valve,Check Valve (Swing),Backflow prevention process line,Process Fluid,2 in to 10 in,Class 150,WCB,SS316 Disc,RF Flanged,Self acting,"Spare gasket set",API 594/API 598,"Hydrotest report, MTC",,,Nos,,
Manual Valve,Ball Valve (2-Piece),Quick shutoff hydrocarbon service,Hydrocarbon,0.5 in to 4 in,Class 300,SS316,SS316,SW/Threaded,Lever,"Locking arrangement, antistatic",API 608/API 598,"Fire safe cert, MTC",,,Nos,,
Manual Valve,Butterfly Valve (Lug),Cooling water isolation,Cooling Water,2 in to 24 in,PN16,DI/CF8M,SS316 Disc,Wafer/Lug,Lever/Gear,"EPDM/NBR seat spares",API 609/EN 12266,"Type test, MTC",,,Nos,,
Manual Valve,Plug Valve,Slurry duty isolation,Slurry,1 in to 8 in,Class 150,WCB,PTFE Sleeved,RF Flanged,Lever/Gear,"Seat/sleeve spare kit",API 599/API 598,"Hydrotest report",,,Nos,,
Manual Valve,Needle Valve,Instrument isolation,Instrument Air,0.25 in to 1 in,6000 psi,SS316,SS316,NPT/SW,Handwheel,"Ferrule fittings",MSS SP-99,"Calibration/Leak test",,,Nos,,
Manual Valve,Diaphragm Valve,Corrosive chemical line isolation,Chemical,0.5 in to 4 in,PN10,PP/SS Body,PTFE Diaphragm,Flanged/Threaded,Handwheel,"Diaphragm spare",DIN EN 13397,"Chemical compatibility cert",,,Nos,,
On/Off Valve,Solenoid Valve (2-way NC),Air line auto shutoff,Instrument Air,0.25 in to 2 in,PN16,Brass/SS316,SS/PTFE,NPT/BSP,24VDC/230VAC Coil,"DIN connector, spare coil",IEC 60529,"Coil datasheet, test cert",,,Nos,,
On/Off Valve,Solenoid Valve (3-way),Pneumatic actuator control signal,Pneumatic Panel,0.25 in to 0.5 in,PN10,Aluminium/SS,SS/PTFE,NAMUR/Threaded,24VDC Coil,"Manual override, silencers",NAMUR VDI/VDE 3845,"Loop diagram compatibility",,,Nos,,
On/Off Valve,Pneumatic Ball Valve Package,Remote isolation process line,Process,1 in to 8 in,Class 150,WCB/SS316,SS316,RF Flanged,DA/SR Pneumatic,"Solenoid, AFR, limit switch box",API 608/API 598,"Actuator sizing calc, FAT",,,Nos,,
On/Off Valve,Pneumatic Butterfly Valve Package,Remote cooling water isolation,Cooling Water,2 in to 24 in,PN16,DI/SS,SS316 Disc,Wafer/Lug,Pneumatic DA,"Solenoid, position indicator",API 609/EN 12266,"FAT report",,,Nos,,
On/Off Valve,Motorized Ball Valve (MOV),Electrical remote shutoff,Utility/Process,1 in to 10 in,Class 150,WCB/SS316,SS316,RF Flanged,Electric Actuator,"Torque switch, local push buttons",API 6D/API 598,"Actuator datasheet, wiring",,,Nos,,
On/Off Valve,Motorized Gate Valve (MOV),Main header isolation,Water/Fire Water,4 in to 20 in,Class 150,WCB,SS410,RF Flanged,Electric Multi-turn,"LCS, handwheel override",AWWA/API 600,"Type test, routine test",,,Nos,,
On/Off Valve,ESD Valve (SDV),Emergency shutdown critical line,Hydrocarbon,1 in to 12 in,Class 300,LF2/WCB,SS316,RF Flanged,Pneumatic spring return,"SOV, quick exhaust, partial stroke",IEC 61511/API 6D,"SIL cert, FAT",,,Nos,,
On/Off Valve,Knife Gate Valve (Pneumatic),Slurry line on/off,Slurry,2 in to 16 in,PN10,CI/SS,SS Gate,Wafer,Pneumatic,"Solenoid, limit switches",MSS SP-81,"Cycle test report",,,Nos,,
Control Valve,Globe Control Valve,Pressure/flow control loop,Steam/Process,1 in to 8 in,Class 150/300,WCB/LCB,SS316 Trim,RF Flanged,Pneumatic diaphragm,"Positioner, I/P, gauges",IEC 60534,"Cv calc, noise calc, FAT",,,Nos,,
Control Valve,Cage Guided Control Valve,High delta-P service,Process,1 in to 6 in,Class 300/600,WCB/CF8M,SS316/Hardfaced,RF Flanged,Pneumatic/Electro,"Smart positioner, booster",IEC 60534,"Sizing sheet, vibration check",,,Nos,,
Control Valve,Angle Control Valve,Erosive/slurry throttling,Slurry,1 in to 6 in,Class 300,WC6/SS,Stellite Trim,RF Flanged,Pneumatic,"Positioner, erosion resistant trim",IEC 60534,"Trim life estimate",,,Nos,,
Control Valve,V-Notch Ball Control Valve,High rangeability control,Chemical/Water,1 in to 10 in,Class 150/300,SS316/CS,SS Trim,Flanged,Pneumatic Rotary,"Digital positioner, air set",ISA 75,"Rangeability and Cv data",,,Nos,,
Control Valve,Butterfly Control Valve,Large line throttling,HVAC/CW,4 in to 36 in,PN16/PN25,DI/SS,SS Disc,Wafer/Lug,Pneumatic/Electric,"Positioner, feedback transmitter",EN 593/IEC 60534,"Seat leakage class",,,Nos,,
Control Valve,Pressure Reducing Valve (Self),Downstream pressure control,Steam/Water,1 in to 6 in,Class 150/300,WCB/Bronze,SS Trim,RF/Threaded,Self operated,"Pilot kit, strainer",ASME/API,"Set pressure cert",,,Nos,,
Control Valve,Pressure Sustaining Valve,Upstream pressure hold,Fire Water,2 in to 12 in,Class 150,DI/SS,SS Trim,Flanged,Hydraulic Pilot,"Pilot, gauges, tubing",AWWA C530,"Performance curve",,,Nos,,
Control Valve,Level Control Valve,Tank level control,Water/Chemical,2 in to 10 in,Class 150,DI/SS,SS Trim,Flanged,Float/Pneumatic Pilot,"Pilot, tubing, isolating valves",AWWA/EN,"Functional test",,,Nos,,
Control Valve,Temperature Control Valve,Thermal oil temperature control,Thermal Oil,1 in to 4 in,Class 300,WCB,SS Trim,Flanged,Pneumatic with temp controller,"RTD/Thermowell, controller",IEC/ISA,"Control philosophy compatibility",,,Nos,,
Pump,Centrifugal Pump (End Suction),General transfer duty,Water/Chemical,10 to 500 m3/hr,16 to 100 m head,CI/SS,SS304/SS316 Impeller,Flanged,Motor driven,"Coupling guard, baseplate",ISO 5199/ISO 9906,"QH curve, NPSHr curve",,,Nos,,
Pump,Centrifugal Pump (Back Pull-Out),Process transfer continuous duty,Process Fluid,20 to 800 m3/hr,20 to 150 m head,CS/SS,SS316,Flanged,Motor driven,"Mechanical seal plan",API 610 (OH2),"Datasheet compliance, performance test",,,Nos,,
Pump,Vertical Inline Pump,HVAC circulation,HVAC Water,20 to 400 m3/hr,10 to 80 m head,CI/SS,Bronze/SS,Flanged,Motor driven,"Vibration pads",ISO 9906,"Routine test cert",,,Nos,,
Pump,Vertical Turbine Pump,Deep sump/raw water intake,Raw Water,50 to 1500 m3/hr,20 to 120 m head,CI/SS,SS410/SS316,Flanged,Motor driven,"Column pipe, discharge head",HI Standards,"Bowl performance test",,,Nos,,
Pump,Multistage Horizontal Pump,Boiler feed/high pressure service,Boiler Feed,5 to 200 m3/hr,80 to 300 m head,WC6/SS,SS410/SS316,Flanged,Motor driven,"Balance drum, seal system",API 610 BB3/ISO,"Performance + hydro test",,,Nos,,
Pump,Multistage Vertical Pump,High pressure clean liquid,Clean Water,5 to 150 m3/hr,100 to 250 m head,SS,SS,Threaded/Flanged,Motor driven,"Dry-run protection",ISO 9906,"Pump curve, efficiency curve",,,Nos,,
Pump,Gear Pump,Viscous oil transfer,Lube/Fuel Oil,1 to 100 m3/hr,5 to 20 bar,CI/SS,CI/SS,Flanged,Motor driven,"Relief valve, strainer",API 676,"Viscosity correction sheet",,,Nos,,
Pump,Screw Pump,High viscosity transfer,Heavy Oil,5 to 300 m3/hr,6 to 25 bar,CS/SS,Alloy Steel,Flanged,Motor driven,"Bypass valve, heating jacket",API 676,"Performance test",,,Nos,,
Pump,AODD Pump,Chemical dosing/transfer,Chemical,0.5 to 60 m3/hr,up to 8 bar,PP/Al/SS,PTFE,Threaded/Flanged,Compressed Air,"Pulsation dampener, air regulator",CE/ATEX,"Material compatibility cert",,,Nos,,
Pump,Dosing/Metering Pump,Chemical injection,Water Treatment,1 to 500 LPH,up to 20 bar,PP/SS,PTFE Diaphragm,Tube/Threaded,Motor/Stepper,"Calibration column, NRV",API 675,"Calibration test",,,Nos,,
Pump,Submersible Pump,Drainage/sewage service,Drain/Sewage,10 to 300 m3/hr,5 to 50 m head,CI/SS,CI/SS Impeller,Flanged,Submersible motor,"Guide rail, auto coupling",ISO 9906,"IP68 cert, test report",,,Nos,,
Pump,Fire Water Pump (Main),Firefighting network supply,Fire Water,285 to 1000 m3/hr,8 to 14 bar,CI/CS,Bronze/SS,Flanged,Diesel/Electric,"Controller, jockey pump interface",NFPA 20,"UL/FM cert (if required)",,,Nos,,
Accessories,Valve Positioner (Smart),Control valve position control,All Pneumatic CVs,N/A,N/A,Aluminium/SS,N/A,NAMUR,4-20 mA + HART,"Mounting kit, manifold",IEC/ISA,"Calibration cert",,,Nos,,
Accessories,I/P Converter,Current to pneumatic conversion,Control Loop,N/A,N/A,Aluminium,N/A,NPT/NAMUR,4-20 mA to 3-15 psi,"Gauge manifold",ISA standards,"Calibration cert",,,Nos,,
Accessories,Air Filter Regulator (AFR),Clean regulated air to actuator,Instrument Air,N/A,0 to 10 bar,Aluminium/SS,N/A,Threaded,Manual set,"Drain valve, pressure gauge",ISO 8573,"Air quality compatibility",,,Nos,,
Accessories,Volume Booster,High speed actuator stroking,Fast Loop,N/A,up to 10 bar,Aluminium/SS,N/A,Threaded,Pneumatic,"Mounting kit",ISA standards,"Response test data",,,Nos,,
Accessories,Lock-up Valve,Fail-last-position requirement,Critical Control,N/A,up to 10 bar,Aluminium/SS,N/A,Threaded,Pneumatic,"Manifold",ISA standards,"Functional test",,,Nos,,
Accessories,Solenoid Valve for Actuator,On/off pilot control,Actuated Valves,0.25 in,N/A,Aluminium/SS,N/A,NAMUR/Threaded,24VDC/230VAC,"Manual override, coil",IEC/ATEX,"Coil cert",,,Nos,,
Accessories,Limit Switch Box,Valve open/close feedback,Actuated Valves,N/A,IP66/IP67,Aluminium/SS,N/A,NAMUR,Mechanical/Proximity,"Terminal strip",IEC 60529,"Ingress protection cert",,,Nos,,
Accessories,Position Transmitter,Continuous valve position feedback,Control Valves,N/A,N/A,Aluminium,N/A,NAMUR,4-20 mA,"Calibration kit",IEC standards,"Calibration report",,,Nos,,
Accessories,Valve Handwheel Override,Manual override for actuator safety,Actuated Valves,N/A,N/A,CS/SS,N/A,Actuator mounted,Manual,"Locking key",OEM standard,"GA drawing",,,Nos,,
Accessories,Extension Spindle + Floor Stand,Underground/remote valve operation,Water Network,As per valve,N/A,CS/SS,N/A,Valve Top,Manual,"Stem guide, pedestal",AWWA/IS,"Dimensional drawing",,,Nos,,
Accessories,Gearbox for Valve,High torque manual operation,Large Valves,As per valve,N/A,CI/CS,N/A,Top mounted,Manual,"Position indicator",OEM standard,"Torque calc",,,Nos,,
Accessories,Actuator Mounting Kit,Bracket-coupler-fasteners,Actuated Valves,N/A,N/A,CS/SS,N/A,ISO 5211,Mechanical,"Hardware set",ISO 5211,"Dimensional compliance",,,Set,,
